Date,Energy Balance [GWh],Energy Source
2021-03-01 00:00:00,0.63,Geothermal
2021-03-01 00:00:00,2.86,Hydro
2021-03-01 00:00:00,0.00,Photovoltaic
2021-03-01 00:00:00,11.59,Thermal
2021-03-01 00:00:00,2.79,Wind
2021-03-01 01:00:00,0.63,Geothermal
2021-03-01 01:00:00,2.74,Hydro
2021-03-01 01:00:00,0.00,Photovoltaic
2021-03-01 01:00:00,12.04,Thermal
2021-03-01 01:00:00,2.52,Wind
2021-03-01 02:00:00,0.64,Geothermal
2021-03-01 02:00:00,2.54,Hydro
2021-03-01 02:00:00,0.00,Photovoltaic
2021-03-01 02:00:00,12.25,Thermal
2021-03-01 02:00:00,2.37,Wind
2021-03-01 03:00:00,0.64,Geothermal
2021-03-01 03:00:00,2.63,Hydro
2021-03-01 03:00:00,0.00,Photovoltaic
2021-03-01 03:00:00,12.36,Thermal
2021-03-01 03:00:00,2.41,Wind
2021-03-01 04:00:00,0.64,Geothermal
2021-03-01 04:00:00,2.76,Hydro
2021-03-01 04:00:00,0.00,Photovoltaic
2021-03-01 04:00:00,12.93,Thermal
2021-03-01 04:00:00,2.40,Wind
2021-03-01 05:00:00,0.64,Geothermal
2021-03-01 05:00:00,3.13,Hydro
2021-03-01 05:00:00,0.00,Photovoltaic
2021-03-01 05:00:00,14.89,Thermal
2021-03-01 05:00:00,2.32,Wind
2021-03-01 06:00:00,0.63,Geothermal
2021-03-01 06:00:00,4.51,Hydro
2021-03-01 06:00:00,0.02,Photovoltaic
2021-03-01 06:00:00,17.37,Thermal
2021-03-01 06:00:00,2.23,Wind
2021-03-01 07:00:00,0.63,Geothermal
2021-03-01 07:00:00,7.89,Hydro
2021-03-01 07:00:00,1.21,Photovoltaic
2021-03-01 07:00:00,19.25,Thermal
2021-03-01 07:00:00,1.96,Wind
2021-03-01 08:00:00,0.63,Geothermal
2021-03-01 08:00:00,8.30,Hydro
2021-03-01 08:00:00,4.48,Photovoltaic
2021-03-01 08:00:00,18.71,Thermal
2021-03-01 08:00:00,1.54,Wind
2021-03-01 09:00:00,0.63,Geothermal
2021-03-01 09:00:00,5.59,Hydro
2021-03-01 09:00:00,7.19,Photovoltaic
2021-03-01 09:00:00,19.58,Thermal
2021-03-01 09:00:00,1.43,Wind
2021-03-01 10:00:00,0.63,Geothermal
2021-03-01 10:00:00,4.32,Hydro
2021-03-01 10:00:00,9.12,Photovoltaic
2021-03-01 10:00:00,18.00,Thermal
2021-03-01 10:00:00,1.26,Wind
2021-03-01 11:00:00,0.63,Geothermal
2021-03-01 11:00:00,3.77,Hydro
2021-03-01 11:00:00,9.94,Photovoltaic
2021-03-01 11:00:00,17.71,Thermal
2021-03-01 11:00:00,1.07,Wind
2021-03-01 12:00:00,0.63,Geothermal
2021-03-01 12:00:00,3.29,Hydro
2021-03-01 12:00:00,10.18,Photovoltaic
2021-03-01 12:00:00,16.98,Thermal
2021-03-01 12:00:00,0.98,Wind
2021-03-01 13:00:00,0.63,Geothermal
2021-03-01 13:00:00,3.19,Hydro
2021-03-01 13:00:00,9.77,Photovoltaic
2021-03-01 13:00:00,16.28,Thermal
2021-03-01 13:00:00,1.14,Wind
2021-03-01 14:00:00,0.63,Geothermal
2021-03-01 14:00:00,3.21,Hydro
2021-03-01 14:00:00,8.65,Photovoltaic
2021-03-01 14:00:00,17.98,Thermal
2021-03-01 14:00:00,1.40,Wind
2021-03-01 15:00:00,0.63,Geothermal
2021-03-01 15:00:00,4.04,Hydro
2021-03-01 15:00:00,6.77,Photovoltaic
2021-03-01 15:00:00,19.16,Thermal
2021-03-01 15:00:00,1.51,Wind
2021-03-01 16:00:00,0.63,Geothermal
2021-03-01 16:00:00,6.05,Hydro
2021-03-01 16:00:00,3.66,Photovoltaic
2021-03-01 16:00:00,20.49,Thermal
2021-03-01 16:00:00,1.62,Wind
2021-03-01 17:00:00,0.64,Geothermal
2021-03-01 17:00:00,8.04,Hydro
2021-03-01 17:00:00,0.60,Photovoltaic
2021-03-01 17:00:00,21.87,Thermal
2021-03-01 17:00:00,1.63,Wind
2021-03-01 18:00:00,0.64,Geothermal
2021-03-01 18:00:00,10.01,Hydro
2021-03-01 18:00:00,0.00,Photovoltaic
2021-03-01 18:00:00,22.89,Thermal
2021-03-01 18:00:00,1.91,Wind
2021-03-01 19:00:00,0.64,Geothermal
2021-03-01 19:00:00,10.32,Hydro
2021-03-01 19:00:00,0.00,Photovoltaic
2021-03-01 19:00:00,22.98,Thermal
2021-03-01 19:00:00,2.04,Wind
2021-03-01 20:00:00,0.64,Geothermal
2021-03-01 20:00:00,8.03,Hydro
2021-03-01 20:00:00,0.00,Photovoltaic
2021-03-01 20:00:00,21.87,Thermal
2021-03-01 20:00:00,2.36,Wind
2021-03-01 21:00:00,0.64,Geothermal
2021-03-01 21:00:00,4.73,Hydro
2021-03-01 21:00:00,0.00,Photovoltaic
2021-03-01 21:00:00,21.64,Thermal
2021-03-01 21:00:00,2.66,Wind
2021-03-01 22:00:00,0.64,Geothermal
2021-03-01 22:00:00,3.86,Hydro
2021-03-01 22:00:00,0.00,Photovoltaic
2021-03-01 22:00:00,18.53,Thermal
2021-03-01 22:00:00,2.90,Wind
2021-03-01 23:00:00,0.64,Geothermal
2021-03-01 23:00:00,3.39,Hydro
2021-03-01 23:00:00,0.00,Photovoltaic
2021-03-01 23:00:00,16.09,Thermal
2021-03-01 23:00:00,2.89,Wind
2021-03-02 00:00:00,0.64,Geothermal
2021-03-02 00:00:00,3.38,Hydro
2021-03-02 00:00:00,0.00,Photovoltaic
2021-03-02 00:00:00,13.46,Thermal
2021-03-02 00:00:00,2.93,Wind
2021-03-02 01:00:00,0.64,Geothermal
2021-03-02 01:00:00,3.09,Hydro
2021-03-02 01:00:00,0.00,Photovoltaic
2021-03-02 01:00:00,12.61,Thermal
2021-03-02 01:00:00,3.02,Wind
2021-03-02 02:00:00,0.64,Geothermal
2021-03-02 02:00:00,3.01,Hydro
2021-03-02 02:00:00,0.00,Photovoltaic
2021-03-02 02:00:00,12.51,Thermal
2021-03-02 02:00:00,2.84,Wind
2021-03-02 03:00:00,0.64,Geothermal
2021-03-02 03:00:00,2.72,Hydro
2021-03-02 03:00:00,0.00,Photovoltaic
2021-03-02 03:00:00,13.51,Thermal
2021-03-02 03:00:00,2.51,Wind
2021-03-02 04:00:00,0.64,Geothermal
2021-03-02 04:00:00,2.72,Hydro
2021-03-02 04:00:00,0.00,Photovoltaic
2021-03-02 04:00:00,14.49,Thermal
2021-03-02 04:00:00,2.41,Wind
2021-03-02 05:00:00,0.64,Geothermal
2021-03-02 05:00:00,3.30,Hydro
2021-03-02 05:00:00,0.00,Photovoltaic
2021-03-02 05:00:00,16.02,Thermal
2021-03-02 05:00:00,2.28,Wind
2021-03-02 06:00:00,0.64,Geothermal
2021-03-02 06:00:00,5.47,Hydro
2021-03-02 06:00:00,0.03,Photovoltaic
2021-03-02 06:00:00,18.48,Thermal
2021-03-02 06:00:00,2.09,Wind
2021-03-02 07:00:00,0.62,Geothermal
2021-03-02 07:00:00,7.13,Hydro
2021-03-02 07:00:00,1.37,Photovoltaic
2021-03-02 07:00:00,20.73,Thermal
2021-03-02 07:00:00,1.74,Wind
2021-03-02 08:00:00,0.62,Geothermal
2021-03-02 08:00:00,7.13,Hydro
2021-03-02 08:00:00,4.59,Photovoltaic
2021-03-02 08:00:00,20.67,Thermal
2021-03-02 08:00:00,1.52,Wind
2021-03-02 09:00:00,0.62,Geothermal
2021-03-02 09:00:00,4.85,Hydro
2021-03-02 09:00:00,7.32,Photovoltaic
2021-03-02 09:00:00,20.48,Thermal
2021-03-02 09:00:00,1.45,Wind
2021-03-02 10:00:00,0.62,Geothermal
2021-03-02 10:00:00,3.97,Hydro
2021-03-02 10:00:00,9.00,Photovoltaic
2021-03-02 10:00:00,18.86,Thermal
2021-03-02 10:00:00,1.40,Wind
2021-03-02 11:00:00,0.62,Geothermal
2021-03-02 11:00:00,3.71,Hydro
2021-03-02 11:00:00,9.92,Photovoltaic
2021-03-02 11:00:00,17.67,Thermal
2021-03-02 11:00:00,1.45,Wind
2021-03-02 12:00:00,0.62,Geothermal
2021-03-02 12:00:00,3.37,Hydro
2021-03-02 12:00:00,9.87,Photovoltaic
2021-03-02 12:00:00,16.92,Thermal
2021-03-02 12:00:00,1.46,Wind
2021-03-02 13:00:00,0.62,Geothermal
2021-03-02 13:00:00,3.25,Hydro
2021-03-02 13:00:00,9.43,Photovoltaic
2021-03-02 13:00:00,16.21,Thermal
2021-03-02 13:00:00,1.45,Wind
2021-03-02 14:00:00,0.62,Geothermal
2021-03-02 14:00:00,3.45,Hydro
2021-03-02 14:00:00,8.16,Photovoltaic
2021-03-02 14:00:00,17.69,Thermal
2021-03-02 14:00:00,1.45,Wind
2021-03-02 15:00:00,0.62,Geothermal
2021-03-02 15:00:00,3.83,Hydro
2021-03-02 15:00:00,6.69,Photovoltaic
2021-03-02 15:00:00,19.13,Thermal
2021-03-02 15:00:00,1.47,Wind
2021-03-02 16:00:00,0.62,Geothermal
2021-03-02 16:00:00,4.84,Hydro
2021-03-02 16:00:00,3.55,Photovoltaic
2021-03-02 16:00:00,21.68,Thermal
2021-03-02 16:00:00,1.39,Wind
2021-03-02 17:00:00,0.64,Geothermal
2021-03-02 17:00:00,6.59,Hydro
2021-03-02 17:00:00,0.59,Photovoltaic
2021-03-02 17:00:00,23.21,Thermal
2021-03-02 17:00:00,1.24,Wind
2021-03-02 18:00:00,0.64,Geothermal
2021-03-02 18:00:00,9.26,Hydro
2021-03-02 18:00:00,0.00,Photovoltaic
2021-03-02 18:00:00,23.93,Thermal
2021-03-02 18:00:00,1.15,Wind
2021-03-02 19:00:00,0.64,Geothermal
2021-03-02 19:00:00,10.13,Hydro
2021-03-02 19:00:00,0.00,Photovoltaic
2021-03-02 19:00:00,24.00,Thermal
2021-03-02 19:00:00,1.04,Wind
2021-03-02 20:00:00,0.64,Geothermal
2021-03-02 20:00:00,8.82,Hydro
2021-03-02 20:00:00,0.00,Photovoltaic
2021-03-02 20:00:00,22.37,Thermal
2021-03-02 20:00:00,0.95,Wind
2021-03-02 21:00:00,0.64,Geothermal
2021-03-02 21:00:00,6.06,Hydro
2021-03-02 21:00:00,0.00,Photovoltaic
2021-03-02 21:00:00,21.32,Thermal
2021-03-02 21:00:00,0.91,Wind
2021-03-02 22:00:00,0.64,Geothermal
2021-03-02 22:00:00,4.04,Hydro
