name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Provincia di Genova,01/05/2021 02:00:00 AM,,nord,93,overcast clouds,1011,94,281.37,0.11,0.0,51,1.32
Provincia di Perugia,01/05/2021 02:00:00 AM,,centro_nord,81,broken clouds,1011,85,287.46,0.0,0.0,150,1.28
Venice,01/05/2021 02:00:00 AM,,nord,95,overcast clouds,1010,95,287.28,0.31,0.0,31,3.5
Bologna,01/05/2021 02:00:00 AM,,nord,100,overcast clouds,1011,83,286.28,0.0,0.0,253,2.15
Catanzaro,01/05/2021 02:00:00 AM,,calabria,99,overcast clouds,1012,51,292.99,0.0,0.0,338,0.35
Trieste,01/05/2021 02:00:00 AM,,nord,94,overcast clouds,1011,92,286.64,0.24,0.0,105,1.95
Province of Turin,01/05/2021 02:00:00 AM,,nord,97,overcast clouds,1011,89,281.54,0.0,0.0,300,0.96
Provincia di Ancona,01/05/2021 02:00:00 AM,,centro_nord,99,overcast clouds,1010,84,287.83,0.0,0.0,253,1.04
Trento,01/05/2021 02:00:00 AM,,nord,91,overcast clouds,1012,92,285.42,0.12,0.0,86,0.61
Sardinia,01/05/2021 02:00:00 AM,,sardegna,100,overcast clouds,1010,82,287.08,0.0,0.0,110,1.5
Provincia di Campobasso,01/05/2021 02:00:00 AM,,centro_sud,95,overcast clouds,1011,62,287.79,0.0,0.0,235,2.51
Valle d'Aosta,01/05/2021 02:00:00 AM,,nord,96,overcast clouds,1012,88,276.22,0.0,0.0,313,0.57
Florence,01/05/2021 02:00:00 AM,,centro_nord,100,overcast clouds,1011,92,286.44,0.0,0.0,84,1.24
Bari,01/05/2021 02:00:00 AM,,sud,96,overcast clouds,1010,69,291.63,0.0,0.0,181,3.71
Naples,01/05/2021 03:00:00 AM,,sud,100,overcast clouds,1010,59,291.82,0.0,0.0,101,0.46
Potenza,01/05/2021 03:00:00 AM,,sud,100,overcast clouds,1011,38,289.01,0.0,0.0,185,2.94
Venice,01/05/2021 03:00:00 AM,,nord,99,overcast clouds,1010,95,287.13,0.31,0.0,27,3.5
Provincia di Ancona,01/05/2021 03:00:00 AM,,centro_nord,75,broken clouds,1010,84,287.26,0.0,0.0,272,1.16
L'Aquila,01/05/2021 03:00:00 AM,,centro_sud,100,overcast clouds,1011,74,286.54,0.0,0.0,222,1.45
Province of Palermo,01/05/2021 03:00:00 AM,,sicilia,100,overcast clouds,1012,38,293.24,0.0,0.0,181,2.65
Provincia di Perugia,01/05/2021 03:00:00 AM,,centro_nord,100,overcast clouds,1011,86,287.12,0.0,0.0,122,0.56
Rome,01/05/2021 03:00:00 AM,,centro_sud,100,overcast clouds,1010,76,288.85,0.0,0.0,71,1.0
Sardinia,01/05/2021 03:00:00 AM,,sardegna,100,overcast clouds,1009,75,287.77,0.0,0.0,79,2.37
Florence,01/05/2021 03:00:00 AM,,centro_nord,100,overcast clouds,1011,90,286.36,0.0,0.0,87,1.13
Valle d'Aosta,01/05/2021 03:00:00 AM,,nord,100,overcast clouds,1012,90,275.95,0.0,0.0,8,0.46
Provincia di Campobasso,01/05/2021 03:00:00 AM,,centro_sud,100,overcast clouds,1011,60,287.81,0.0,0.0,232,2.7
Trento,01/05/2021 03:00:00 AM,,nord,59,broken clouds,1012,92,284.84,0.12,0.0,62,0.39
Province of Turin,01/05/2021 03:00:00 AM,,nord,100,overcast clouds,1011,88,281.04,0.0,0.0,299,1.11
Provincia di Genova,01/05/2021 03:00:00 AM,,nord,100,overcast clouds,1011,93,281.26,0.11,0.0,57,1.37
Trieste,01/05/2021 03:00:00 AM,,nord,100,overcast clouds,1011,91,286.51,0.24,0.0,99,1.83
Catanzaro,01/05/2021 03:00:00 AM,,calabria,100,overcast clouds,1013,46,294.34,0.0,0.0,248,3.34
Bologna,01/05/2021 03:00:00 AM,,nord,100,overcast clouds,1011,82,285.99,0.0,0.0,269,1.69
Bari,01/05/2021 03:00:00 AM,,sud,100,overcast clouds,1010,70,291.57,0.0,0.0,163,3.13
Milan,01/05/2021 03:00:00 AM,,nord,100,overcast clouds,1010,92,286.42,0.14,0.0,257,1.08
Provincia di Campobasso,01/05/2021 04:00:00 AM,,centro_sud,100,overcast clouds,1011,59,287.78,0.0,0.0,236,2.6
Province of Turin,01/05/2021 04:00:00 AM,,nord,100,overcast clouds,1011,88,280.91,0.0,0.0,319,1.3
Naples,01/05/2021 04:00:00 AM,,sud,100,overcast clouds,1010,59,291.88,0.0,0.0,106,1.09
L'Aquila,01/05/2021 04:00:00 AM,,centro_sud,99,overcast clouds,1011,72,286.41,0.0,0.0,213,0.97
Provincia di Genova,01/05/2021 04:00:00 AM,,nord,100,overcast clouds,1011,92,281.29,0.11,0.0,60,1.68
Trento,01/05/2021 04:00:00 AM,,nord,43,scattered clouds,1012,93,284.49,0.12,0.0,58,0.53
