Date,Renewable Generation [GWh],Energy Source
2021-01-02 00:00:00,0.00,Photovoltaic
2021-01-02 00:00:00,4.21,Wind
2021-01-02 01:00:00,1.65,Biomass
2021-01-02 01:00:00,0.62,Geothermal
2021-01-02 01:00:00,3.04,Hydro
2021-01-02 01:00:00,0.00,Photovoltaic
2021-01-02 01:00:00,4.34,Wind
2021-01-02 02:00:00,1.58,Biomass
2021-01-02 02:00:00,0.62,Geothermal
2021-01-02 02:00:00,2.98,Hydro
2021-01-02 02:00:00,0.00,Photovoltaic
2021-01-02 02:00:00,4.34,Wind
2021-01-02 03:00:00,1.47,Biomass
2021-01-02 03:00:00,0.61,Geothermal
2021-01-02 03:00:00,2.96,Hydro
2021-01-02 03:00:00,0.00,Photovoltaic
2021-01-02 03:00:00,4.36,Wind
2021-01-02 04:00:00,1.44,Biomass
2021-01-02 04:00:00,0.61,Geothermal
2021-01-02 04:00:00,2.91,Hydro
2021-01-02 04:00:00,0.00,Photovoltaic
2021-01-02 04:00:00,4.54,Wind
2021-01-02 05:00:00,1.48,Biomass
2021-01-02 05:00:00,0.61,Geothermal
2021-01-02 05:00:00,2.97,Hydro
2021-01-02 05:00:00,0.00,Photovoltaic
2021-01-02 05:00:00,4.68,Wind
2021-01-02 06:00:00,1.56,Biomass
2021-01-02 06:00:00,0.62,Geothermal
2021-01-02 06:00:00,3.20,Hydro
2021-01-02 06:00:00,0.00,Photovoltaic
2021-01-02 06:00:00,4.72,Wind
2021-01-02 07:00:00,1.64,Biomass
2021-01-02 07:00:00,0.62,Geothermal
2021-01-02 07:00:00,3.64,Hydro
2021-01-02 07:00:00,0.03,Photovoltaic
2021-01-02 07:00:00,4.88,Wind
2021-01-02 08:00:00,1.73,Biomass
2021-01-02 08:00:00,0.62,Geothermal
2021-01-02 08:00:00,4.25,Hydro
2021-01-02 08:00:00,0.36,Photovoltaic
2021-01-02 08:00:00,4.98,Wind
2021-01-02 09:00:00,1.76,Biomass
2021-01-02 09:00:00,0.62,Geothermal
2021-01-02 09:00:00,4.36,Hydro
2021-01-02 09:00:00,1.59,Photovoltaic
2021-01-02 09:00:00,4.83,Wind
2021-01-02 10:00:00,1.76,Biomass
2021-01-02 10:00:00,0.62,Geothermal
2021-01-02 10:00:00,4.47,Hydro
2021-01-02 10:00:00,2.58,Photovoltaic
2021-01-02 10:00:00,5.16,Wind
2021-01-02 11:00:00,1.81,Biomass
2021-01-02 11:00:00,0.62,Geothermal
2021-01-02 11:00:00,4.35,Hydro
2021-01-02 11:00:00,2.92,Photovoltaic
2021-01-02 11:00:00,5.44,Wind
2021-01-02 12:00:00,1.78,Biomass
2021-01-02 12:00:00,0.62,Geothermal
2021-01-02 12:00:00,4.50,Hydro
2021-01-02 12:00:00,2.51,Photovoltaic
2021-01-02 12:00:00,5.95,Wind
2021-01-02 13:00:00,1.77,Biomass
2021-01-02 13:00:00,0.62,Geothermal
2021-01-02 13:00:00,3.91,Hydro
2021-01-02 13:00:00,2.37,Photovoltaic
2021-01-02 13:00:00,5.29,Wind
2021-01-02 14:00:00,1.69,Biomass
2021-01-02 14:00:00,0.62,Geothermal
2021-01-02 14:00:00,3.89,Hydro
2021-01-02 14:00:00,1.93,Photovoltaic
2021-01-02 14:00:00,5.08,Wind
2021-01-02 15:00:00,1.71,Biomass
2021-01-02 15:00:00,0.62,Geothermal
2021-01-02 15:00:00,4.10,Hydro
2021-01-02 15:00:00,0.90,Photovoltaic
2021-01-02 15:00:00,4.87,Wind
2021-01-02 16:00:00,1.86,Biomass
2021-01-02 16:00:00,0.62,Geothermal
2021-01-02 16:00:00,5.33,Hydro
2021-01-02 16:00:00,0.10,Photovoltaic
2021-01-02 16:00:00,4.59,Wind
2021-01-02 17:00:00,1.90,Biomass
2021-01-02 17:00:00,0.62,Geothermal
2021-01-02 17:00:00,8.30,Hydro
2021-01-02 17:00:00,0.00,Photovoltaic
2021-01-02 17:00:00,4.46,Wind
2021-01-02 18:00:00,1.94,Biomass
2021-01-02 18:00:00,0.62,Geothermal
2021-01-02 18:00:00,8.81,Hydro
2021-01-02 18:00:00,0.00,Photovoltaic
2021-01-02 18:00:00,4.29,Wind
2021-01-02 19:00:00,1.96,Biomass
2021-01-02 19:00:00,0.62,Geothermal
2021-01-02 19:00:00,7.70,Hydro
