name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Provincia di Genova,26/04/2021 22:45:07 PM,26/04/2021 20:45 PM,nord,100,moderate rain,1005,75,13.33,{'1h': 1.33},0,122,0.89
Province of Turin,26/04/2021 22:45:07 PM,26/04/2021 20:45 PM,nord,100,overcast clouds,1008,95,9.42,{'1h': 0.1},0,21,0.35
Milan,26/04/2021 22:45:08 PM,26/04/2021 20:45 PM,nord,75,broken clouds,1012,87,12.24,0,0,80,2.57
Trento,26/04/2021 22:45:08 PM,26/04/2021 20:45 PM,nord,90,fog,1012,93,7.69,0,0,190,2.06
Venice,26/04/2021 22:45:08 PM,26/04/2021 20:45 PM,nord,0,clear sky,1013,82,11.97,0,0,0,0.51
Bologna,26/04/2021 22:45:08 PM,26/04/2021 20:45 PM,nord,40,scattered clouds,1012,82,12.84,0,0,50,2.06
Trieste,26/04/2021 22:45:09 PM,26/04/2021 20:45 PM,nord,75,broken clouds,1013,76,11.02,0,0,40,0.51
Provincia di Perugia,26/04/2021 22:45:09 PM,26/04/2021 20:45 PM,centro_nord,40,light rain,1010,58,14.32,{'1h': 0.18},0,300,2.06
Florence,26/04/2021 22:45:09 PM,26/04/2021 20:45 PM,centro_nord,40,light rain,1010,63,15.22,{'1h': 0.24},0,60,1.54
Provincia di Ancona,26/04/2021 22:45:10 PM,26/04/2021 20:45 PM,centro_nord,75,broken clouds,1011,88,13.28,0,0,80,2.06
L'Aquila,26/04/2021 22:45:10 PM,26/04/2021 20:45 PM,centro_sud,100,overcast clouds,1014,56,10.92,0,0,210,4.12
Rome,26/04/2021 22:41:58 PM,26/04/2021 20:45 PM,centro_sud,0,clear sky,1009,51,15.39,0,0,50,1.54
L'Aquila,26/04/2021 22:45:10 PM,26/04/2021 20:45 PM,centro_sud,100,overcast clouds,1014,56,10.92,0,0,210,4.12
Rome,26/04/2021 22:41:58 PM,26/04/2021 20:45 PM,centro_sud,0,clear sky,1009,51,15.39,0,0,50,1.54
Provincia di Campobasso,26/04/2021 22:45:11 PM,26/04/2021 20:45 PM,centro_sud,100,overcast clouds,1004,57,11.8,0,0,239,2.19
Naples,26/04/2021 22:45:11 PM,26/04/2021 20:45 PM,sud,0,clear sky,1009,59,16.4,0,0,60,1.54
Bari,26/04/2021 22:45:11 PM,26/04/2021 20:45 PM,sud,20,few clouds,1010,59,16.56,0,0,180,4.63
Potenza,26/04/2021 22:45:12 PM,26/04/2021 20:45 PM,sud,100,overcast clouds,1013,81,11.11,0,0,216,1.79
Province of Palermo,26/04/2021 22:45:12 PM,26/04/2021 20:45 PM,sicilia,0,clear sky,1006,55,18.23,0,0,40,3.6
Sardinia,26/04/2021 22:45:12 PM,26/04/2021 20:45 PM,sardegna,68,broken clouds,1006,92,15.0,0,0,27,0.45
Catanzaro,26/04/2021 22:45:12 PM,26/04/2021 20:45 PM,calabria,75,broken clouds,1011,77,13.94,0,0,70,11.32
