name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Provincia di Perugia,27/04/2021 15:00:00 PM,,centro_nord,85,overcast clouds,1006,71,288.35,0.0,0.0,3,2.83
Naples,27/04/2021 15:00:00 PM,,sud,40,scattered clouds,1007,65,291.56,0.0,0.0,174,5.49
Florence,27/04/2021 15:00:00 PM,,centro_nord,85,overcast clouds,1006,75,286.51,0.0,0.0,25,1.86
L'Aquila,27/04/2021 15:00:00 PM,,centro_sud,56,broken clouds,1006,53,291.3,0.0,0.0,220,1.92
Province of Palermo,27/04/2021 15:00:00 PM,,sicilia,60,broken clouds,984,53,295.27,0.0,0.0,353,2.16
Trento,27/04/2021 15:00:00 PM,,nord,94,overcast clouds,1009,89,280.25,0.0,0.0,160,1.02
Provincia di Ancona,27/04/2021 15:00:00 PM,,centro_nord,94,overcast clouds,1008,88,285.89,0.0,0.0,360,3.55
Provincia di Campobasso,27/04/2021 16:00:00 PM,,centro_sud,43,scattered clouds,1005,67,290.92,0.0,0.0,223,2.71
Venice,27/04/2021 16:00:00 PM,,nord,90,overcast clouds,1009,70,286.28,0.0,0.0,42,4.0
Florence,27/04/2021 16:00:00 PM,,centro_nord,90,overcast clouds,1007,80,286.56,0.0,0.0,25,1.83
Province of Palermo,27/04/2021 16:00:00 PM,,sicilia,40,scattered clouds,992,54,294.78,0.0,0.0,356,2.81
Naples,27/04/2021 16:00:00 PM,,sud,41,scattered clouds,1007,68,291.3,0.0,0.0,181,5.26
Valle d'Aosta,27/04/2021 16:00:00 PM,,nord,100,overcast clouds,1004,75,279.89,0.0,0.0,110,1.96
Sardinia,27/04/2021 16:00:00 PM,,sardegna,68,broken clouds,1005,71,290.71,0.0,0.0,241,2.53
Provincia di Genova,27/04/2021 16:00:00 PM,,nord,100,light rain,1007,82,284.57,0.16,0.0,349,1.75
Catanzaro,27/04/2021 16:00:00 PM,,calabria,91,overcast clouds,1006,58,293.47,0.0,0.0,217,2.68
Bari,27/04/2021 16:00:00 PM,,sud,41,scattered clouds,1006,61,293.24,0.0,0.0,162,3.17
Trieste,27/04/2021 16:00:00 PM,,nord,76,broken clouds,1010,74,285.75,0.0,0.0,60,3.63
L'Aquila,27/04/2021 16:00:00 PM,,centro_sud,70,light rain,1005,60,290.1,0.64,0.0,239,1.5
Trento,27/04/2021 16:00:00 PM,,nord,96,overcast clouds,1009,90,281.61,0.0,0.0,162,0.88
Bologna,27/04/2021 16:00:00 PM,,nord,90,light rain,1008,90,285.43,0.2,0.0,67,3.25
Province of Turin,27/04/2021 16:00:00 PM,,nord,90,overcast clouds,1009,92,282.06,0.0,0.0,102,1.19
Provincia di Perugia,27/04/2021 16:00:00 PM,,centro_nord,90,overcast clouds,1006,72,288.62,0.0,0.0,7,2.42
Rome,27/04/2021 16:00:00 PM,,centro_sud,89,light rain,1005,71,292.92,0.46,0.0,180,5.01
Milan,27/04/2021 16:00:00 PM,,nord,90,overcast clouds,1009,78,285.27,0.0,0.0,82,2.47
Potenza,27/04/2021 16:00:00 PM,,sud,32,scattered clouds,1006,52,293.26,0.0,0.0,234,2.94
Provincia di Ancona,27/04/2021 16:00:00 PM,,centro_nord,96,overcast clouds,1008,89,285.68,0.0,0.0,1,3.27
Trento,27/04/2021 17:00:00 PM,,nord,98,overcast clouds,1009,91,282.94,0.0,0.0,163,0.74
Naples,27/04/2021 17:00:00 PM,,sud,57,broken clouds,1007,72,290.9,0.0,0.0,172,4.8
Valle d'Aosta,27/04/2021 17:00:00 PM,,nord,100,overcast clouds,1005,80,278.64,0.0,0.0,106,2.0
Catanzaro,27/04/2021 17:00:00 PM,,calabria,82,broken clouds,1006,56,293.64,0.0,0.0,229,2.39
Bari,27/04/2021 17:00:00 PM,,sud,59,broken clouds,1005,64,292.97,0.0,0.0,160,3.83
Province of Turin,27/04/2021 17:00:00 PM,,nord,95,overcast clouds,1009,93,281.35,0.0,0.0,101,1.28
Province of Palermo,27/04/2021 17:00:00 PM,,sicilia,20,few clouds,1000,59,293.4,0.0,0.0,8,2.72
Trieste,27/04/2021 17:00:00 PM,,nord,88,light rain,1009,79,284.88,0.41,0.0,64,3.63
Sardinia,27/04/2021 17:00:00 PM,,sardegna,84,broken clouds,1006,65,290.65,0.0,0.0,256,3.13
Rome,27/04/2021 17:00:00 PM,,centro_sud,94,light rain,1005,76,292.15,0.45,0.0,183,4.06
Florence,27/04/2021 17:00:00 PM,,centro_nord,95,overcast clouds,1006,85,286.41,0.0,0.0,26,1.78
L'Aquila,27/04/2021 17:00:00 PM,,centro_sud,72,light rain,1005,64,289.67,0.63,0.0,229,1.54
Venice,27/04/2021 17:00:00 PM,,nord,95,overcast clouds,1009,70,286.38,0.0,0.0,49,3.69
Provincia di Genova,27/04/2021 17:00:00 PM,,nord,100,light rain,1007,84,283.7,0.13,0.0,350,1.92
Provincia di Campobasso,27/04/2021 17:00:00 PM,,centro_sud,61,broken clouds,1005,69,290.95,0.0,0.0,217,2.4
Provincia di Ancona,27/04/2021 17:00:00 PM,,centro_nord,98,overcast clouds,1008,91,285.43,0.0,0.0,359,3.06
Potenza,27/04/2021 17:00:00 PM,,sud,24,few clouds,1005,55,292.35,0.0,0.0,235,3.05
Milan,27/04/2021 17:00:00 PM,,nord,95,overcast clouds,1009,78,285.09,0.0,0.0,89,2.27
Bologna,27/04/2021 17:00:00 PM,,nord,95,light rain,1008,92,285.18,0.24,0.0,65,2.99
