name,date,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed,globalhorizontalirradiance,directnormalirradiance,diffusehorizontalirradiance,globalhorizontalirradiance_2,directnormalirradiance_2,diffusehorizontalirradiance_2
Venice,08/05/2021 20:00:00 PM,nord,95,overcast clouds,1020,61,288.01,2.62,0,210,1.0,26.58,0.0,26.58,98.29,98.29,98.29
Florence,08/05/2021 20:00:00 PM,centro_nord,47,scattered clouds,1018,65,291.49,0.0,0,28,1.96,95.47,304.98,49.28,103.01,103.01,103.01
Valle d'Aosta,08/05/2021 20:00:00 PM,nord,94,overcast clouds,1018,79,280.24,2.12,0,94,1.93,65.07,11.39,62.75,157.41,157.41,157.41
Provincia di Genova,08/05/2021 20:00:00 PM,nord,48,scattered clouds,1019,83,284.87,2.12,0,341,2.0,110.35,326.52,51.14,130.85,130.85,130.85
Rome,08/05/2021 20:00:00 PM,centro_sud,21,few clouds,1018,74,290.77,2.12,0,233,2.04,81.01,271.9,46.27,81.53,81.53,81.53
Naples,08/05/2021 20:00:00 PM,sud,8,clear sky,1018,65,292.73,0.0,0,259,0.87,58.62,212.89,37.17,58.63,58.63,58.63
Trento,08/05/2021 20:00:00 PM,nord,95,overcast clouds,1019,78,286.87,2.12,0,191,1.92,28.92,0.0,28.92,115.69,115.69,115.69
Sardinia,08/05/2021 20:00:00 PM,sardegna,1,clear sky,1018,66,290.09,2.12,0,4,1.22,113.23,394.65,49.26,113.23,113.23,113.23
Province of Turin,08/05/2021 20:00:00 PM,nord,91,overcast clouds,1020,84,283.3,0.0,0,11,0.15,66.85,21.75,62.4,153.64,153.64,153.64
Bologna,08/05/2021 20:00:00 PM,nord,92,overcast clouds,1019,75,287.96,0.0,0,89,2.95,39.33,0.0,39.33,103.8,103.8,103.8
Milan,08/05/2021 20:00:00 PM,nord,54,broken clouds,1019,63,288.44,0.0,0,105,1.4,114.81,322.0,55.77,132.26,132.26,132.26
Potenza,08/05/2021 20:00:00 PM,sud,76,broken clouds,1019,80,285.53,0.0,0,50,1.95,26.19,24.23,24.24,43.55,43.55,43.55
L'Aquila,08/05/2021 20:00:00 PM,centro_sud,92,overcast clouds,1019,90,286.88,0.0,0,83,1.42,27.8,7.58,26.89,75.78,75.78,75.78
Potenza,08/05/2021 21:00:00 PM,sud,9,clear sky,1020,84,283.97,0.0,0,71,1.12,0.0,0.0,0.0,0.0,0.0,0.0
Naples,08/05/2021 21:00:00 PM,sud,5,clear sky,1018,66,292.34,0.0,0,249,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,08/05/2021 21:00:00 PM,sardegna,0,clear sky,1019,66,287.97,2.12,0,64,1.72,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,08/05/2021 21:00:00 PM,nord,86,overcast clouds,1020,88,281.75,0.0,0,308,0.74,5.08,0.0,5.08,11.2,11.2,11.2
Trento,08/05/2021 21:00:00 PM,nord,99,overcast clouds,1021,88,284.44,2.12,0,190,1.44,0.01,0.0,0.01,0.04,0.04,0.04
Province of Palermo,08/05/2021 21:00:00 PM,sicilia,0,clear sky,1019,76,285.26,0.0,0,30,1.23,0.0,0.0,0.0,0.0,0.0,0.0
Milan,08/05/2021 21:00:00 PM,nord,30,scattered clouds,1020,66,287.3,0.0,0,95,1.46,2.99,0.0,2.99,3.37,3.37,3.37
Provincia di Perugia,08/05/2021 21:00:00 PM,centro_nord,28,scattered clouds,1019,90,286.9,2.12,0,45,2.39,0.0,0.0,0.0,0.0,0.0,0.0
Rome,08/05/2021 21:00:00 PM,centro_sud,0,clear sky,1018,78,289.56,2.12,0,231,0.8,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,08/05/2021 21:00:00 PM,centro_sud,85,overcast clouds,1020,93,286.26,0.0,0,88,1.41,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,08/05/2021 21:00:00 PM,calabria,2,clear sky,1019,80,288.86,0.0,0,308,2.96,0.0,0.0,0.0,0.0,0.0,0.0
Bari,08/05/2021 21:00:00 PM,sud,54,broken clouds,1019,65,290.4,0.0,0,327,3.47,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,08/05/2021 21:00:00 PM,nord,23,few clouds,1020,92,282.6,2.12,0,2,2.52,1.54,0.0,1.54,1.73,1.73,1.73
Provincia di Campobasso,08/05/2021 21:00:00 PM,centro_sud,89,overcast clouds,1020,90,287.61,2.12,0,50,1.49,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,08/05/2021 21:00:00 PM,nord,100,overcast clouds,1019,87,277.29,2.12,0,80,1.6,5.17,0.0,5.17,13.41,13.41,13.41
Venice,08/05/2021 21:00:00 PM,nord,13,few clouds,1020,61,287.49,2.62,0,236,0.59,0.0,0.0,0.0,0.0,0.0,0.0
Florence,08/05/2021 21:00:00 PM,centro_nord,12,few clouds,1018,71,289.82,0.0,0,41,1.89,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,08/05/2021 21:00:00 PM,centro_nord,61,broken clouds,1020,81,284.8,2.12,0,35,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,08/05/2021 21:00:00 PM,nord,99,overcast clouds,1021,80,285.46,2.12,0,81,0.66,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,08/05/2021 21:00:00 PM,nord,84,broken clouds,1020,77,286.29,0.0,0,112,2.6,0.0,0.0,0.0,0.0,0.0,0.0
Florence,08/05/2021 22:00:00 PM,centro_nord,11,few clouds,1019,75,288.83,0.0,0,44,1.86,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,08/05/2021 22:00:00 PM,nord,100,overcast clouds,1020,85,276.66,2.12,0,71,1.36,0.0,0.0,0.0,0.0,0.0,0.0
Bari,08/05/2021 22:00:00 PM,sud,49,scattered clouds,1019,68,290.29,0.0,0,323,3.42,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,08/05/2021 22:00:00 PM,centro_nord,59,broken clouds,1021,83,284.19,2.12,0,259,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,08/05/2021 22:00:00 PM,centro_nord,19,few clouds,1020,91,286.08,2.12,0,44,2.14,0.0,0.0,0.0,0.0,0.0,0.0
Rome,08/05/2021 22:00:00 PM,centro_sud,0,clear sky,1019,79,289.2,2.12,0,315,0.36,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,08/05/2021 22:00:00 PM,nord,74,broken clouds,1021,88,281.37,0.0,0,305,1.13,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,08/05/2021 22:00:00 PM,calabria,2,clear sky,1019,80,288.62,0.0,0,311,2.56,0.0,0.0,0.0,0.0,0.0,0.0
Milan,08/05/2021 22:00:00 PM,nord,30,scattered clouds,1020,68,286.75,0.0,0,78,1.44,0.0,0.0,0.0,0.0,0.0,0.0
Venice,08/05/2021 22:00:00 PM,nord,15,few clouds,1021,63,287.23,2.62,0,284,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Naples,08/05/2021 22:00:00 PM,sud,5,clear sky,1019,66,292.07,0.0,0,202,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Trento,08/05/2021 22:00:00 PM,nord,80,broken clouds,1022,90,283.61,2.12,0,172,0.87,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,08/05/2021 22:00:00 PM,nord,53,broken clouds,1021,82,284.75,0.0,0,131,2.32,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,08/05/2021 22:00:00 PM,sud,15,few clouds,1021,84,283.53,0.0,0,105,0.82,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,08/05/2021 22:00:00 PM,nord,19,few clouds,1020,93,282.19,2.12,0,13,2.49,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,08/05/2021 22:00:00 PM,centro_sud,89,overcast clouds,1020,91,287.21,2.12,0,51,1.15,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,08/05/2021 22:00:00 PM,sardegna,0,clear sky,1019,65,287.36,2.12,0,78,2.13,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,08/05/2021 22:00:00 PM,centro_sud,89,overcast clouds,1020,92,286.28,0.0,0,100,0.98,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,08/05/2021 22:00:00 PM,sicilia,1,clear sky,1020,75,284.73,0.0,0,44,0.86,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,08/05/2021 22:00:00 PM,nord,59,broken clouds,1021,80,285.07,2.12,0,79,1.62,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,08/05/2021 23:00:00 PM,sicilia,1,clear sky,1020,72,284.51,0.0,0,50,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Florence,08/05/2021 23:00:00 PM,centro_nord,10,clear sky,1020,78,288.06,0.0,0,48,1.73,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,08/05/2021 23:00:00 PM,nord,43,scattered clouds,1021,81,284.74,2.12,0,80,1.91,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,08/05/2021 23:00:00 PM,nord,71,broken clouds,1021,85,276.05,2.12,0,80,1.44,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,08/05/2021 23:00:00 PM,centro_nord,68,broken clouds,1021,84,283.96,2.12,0,221,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,08/05/2021 23:00:00 PM,sud,13,few clouds,1020,84,283.14,0.0,0,102,0.81,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,08/05/2021 23:00:00 PM,nord,37,scattered clouds,1021,83,284.3,0.0,0,146,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Trento,08/05/2021 23:00:00 PM,nord,64,broken clouds,1022,92,283.29,2.12,0,137,0.57,0.0,0.0,0.0,0.0,0.0,0.0
Bari,08/05/2021 23:00:00 PM,sud,61,broken clouds,1019,71,290.13,0.0,0,331,3.86,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,08/05/2021 23:00:00 PM,centro_sud,87,overcast clouds,1020,92,286.58,2.12,0,45,0.77,0.0,0.0,0.0,0.0,0.0,0.0
Milan,08/05/2021 23:00:00 PM,nord,28,scattered clouds,1021,71,286.2,0.0,0,75,1.47,0.0,0.0,0.0,0.0,0.0,0.0
Venice,08/05/2021 23:00:00 PM,nord,38,scattered clouds,1021,63,286.9,2.62,0,313,1.29,0.0,0.0,0.0,0.0,0.0,0.0
Rome,08/05/2021 23:00:00 PM,centro_sud,1,clear sky,1019,80,288.85,2.12,0,6,0.84,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,08/05/2021 23:00:00 PM,centro_sud,92,overcast clouds,1020,92,286.19,0.0,0,126,0.53,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,08/05/2021 23:00:00 PM,nord,18,few clouds,1020,93,282.08,2.12,0,15,2.47,0.0,0.0,0.0,0.0,0.0,0.0
Naples,08/05/2021 23:00:00 PM,sud,5,clear sky,1019,68,291.77,0.0,0,166,0.86,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,08/05/2021 23:00:00 PM,nord,62,broken clouds,1021,87,281.26,0.0,0,304,1.32,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,08/05/2021 23:00:00 PM,calabria,1,clear sky,1019,79,288.51,0.0,0,309,2.68,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,08/05/2021 23:00:00 PM,centro_nord,15,few clouds,1020,91,285.59,2.12,0,44,1.9,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,08/05/2021 23:00:00 PM,sardegna,0,clear sky,1019,62,287.07,2.12,0,84,2.07,0.0,0.0,0.0,0.0,0.0,0.0
Venice,09/05/2021 00:00:00 AM,nord,31,scattered clouds,1021,64,286.55,2.62,0,330,1.61,0.0,0.0,0.0,0.0,0.0,0.0
Naples,09/05/2021 00:00:00 AM,sud,5,clear sky,1019,69,291.51,0.0,0,154,1.05,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,09/05/2021 00:00:00 AM,centro_nord,13,few clouds,1020,91,285.2,2.12,0,47,1.62,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,09/05/2021 00:00:00 AM,nord,39,scattered clouds,1021,84,284.0,0.0,0,165,1.34,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,09/05/2021 00:00:00 AM,sicilia,1,clear sky,1019,67,284.44,0.0,0,95,0.27,0.0,0.0,0.0,0.0,0.0,0.0
Milan,09/05/2021 00:00:00 AM,nord,27,scattered clouds,1021,73,285.73,0.0,0,61,1.69,0.0,0.0,0.0,0.0,0.0,0.0
Bari,09/05/2021 00:00:00 AM,sud,65,broken clouds,1020,73,289.93,0.0,0,331,4.16,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,09/05/2021 00:00:00 AM,nord,17,few clouds,1020,92,282.05,2.12,0,12,2.48,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,09/05/2021 00:00:00 AM,centro_nord,70,broken clouds,1021,85,283.89,2.12,0,228,1.09,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,09/05/2021 00:00:00 AM,sud,11,few clouds,1021,84,282.95,0.0,0,99,0.65,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,09/05/2021 00:00:00 AM,nord,57,broken clouds,1021,87,275.48,2.12,0,67,1.36,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,09/05/2021 00:00:00 AM,calabria,1,clear sky,1019,78,288.5,0.0,0,311,2.61,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,09/05/2021 00:00:00 AM,sardegna,0,clear sky,1019,59,286.97,2.12,0,86,2.04,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,09/05/2021 00:00:00 AM,nord,56,broken clouds,1021,86,281.17,0.0,0,310,1.22,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,09/05/2021 00:00:00 AM,nord,51,broken clouds,1021,81,284.42,2.12,0,75,1.75,0.0,0.0,0.0,0.0,0.0,0.0
Florence,09/05/2021 00:00:00 AM,centro_nord,9,clear sky,1020,79,287.49,0.0,0,47,1.75,0.0,0.0,0.0,0.0,0.0,0.0
Rome,09/05/2021 00:00:00 AM,centro_sud,1,clear sky,1019,81,288.62,2.12,0,32,1.08,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,09/05/2021 00:00:00 AM,centro_sud,79,broken clouds,1021,94,285.4,2.12,0,30,0.85,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,09/05/2021 00:00:00 AM,centro_sud,88,overcast clouds,1020,92,285.42,0.0,0,157,0.52,0.0,0.0,0.0,0.0,0.0,0.0
Trento,09/05/2021 00:00:00 AM,nord,53,broken clouds,1023,93,283.01,2.12,0,134,0.34,0.0,0.0,0.0,0.0,0.0,0.0
Venice,09/05/2021 01:00:00 AM,nord,28,scattered clouds,1021,66,286.22,2.62,0,336,1.88,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,09/05/2021 01:00:00 AM,centro_nord,12,few clouds,1020,91,284.98,2.12,0,44,1.38,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,09/05/2021 01:00:00 AM,centro_sud,74,broken clouds,1021,95,284.81,2.12,0,8,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Milan,09/05/2021 01:00:00 AM,nord,28,scattered clouds,1021,74,285.39,0.0,0,57,1.84,0.0,0.0,0.0,0.0,0.0,0.0
Naples,09/05/2021 01:00:00 AM,sud,5,clear sky,1019,71,291.21,0.0,0,146,1.16,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,09/05/2021 01:00:00 AM,nord,51,broken clouds,1022,88,275.15,2.12,0,59,1.17,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,09/05/2021 01:00:00 AM,sardegna,0,clear sky,1019,57,286.97,2.12,0,88,2.04,0.0,0.0,0.0,0.0,0.0,0.0
Bari,09/05/2021 01:00:00 AM,sud,63,broken clouds,1019,76,289.61,0.0,0,320,3.88,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,09/05/2021 01:00:00 AM,calabria,1,clear sky,1019,77,288.47,0.0,0,310,2.58,0.0,0.0,0.0,0.0,0.0,0.0
Trento,09/05/2021 01:00:00 AM,nord,55,broken clouds,1023,93,282.82,2.12,0,81,0.36,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,09/05/2021 01:00:00 AM,sud,10,clear sky,1020,83,282.74,0.0,0,122,0.61,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,09/05/2021 01:00:00 AM,centro_sud,80,broken clouds,1020,93,285.06,0.0,0,169,0.61,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,09/05/2021 01:00:00 AM,nord,33,scattered clouds,1021,85,283.85,0.0,0,170,1.09,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,09/05/2021 01:00:00 AM,nord,51,broken clouds,1021,81,284.15,2.12,0,69,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Florence,09/05/2021 01:00:00 AM,centro_nord,9,clear sky,1020,80,287.01,0.0,0,47,1.64,0.0,0.0,0.0,0.0,0.0,0.0
Rome,09/05/2021 01:00:00 AM,centro_sud,1,clear sky,1019,82,288.3,2.12,0,41,1.09,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,09/05/2021 01:00:00 AM,sicilia,1,clear sky,1019,61,284.35,0.0,0,148,0.44,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,09/05/2021 01:00:00 AM,nord,15,few clouds,1020,91,281.9,2.12,0,13,2.64,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,09/05/2021 01:00:00 AM,centro_nord,63,broken clouds,1021,86,283.8,2.12,0,240,0.93,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,09/05/2021 01:00:00 AM,nord,51,broken clouds,1021,86,280.99,0.0,0,319,1.02,0.0,0.0,0.0,0.0,0.0,0.0
Bari,09/05/2021 02:00:00 AM,sud,60,broken clouds,1019,77,289.23,0.0,0,311,3.87,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,09/05/2021 02:00:00 AM,sicilia,1,clear sky,1019,57,284.34,0.0,0,165,0.6,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,09/05/2021 02:00:00 AM,centro_sud,73,broken clouds,1020,93,284.94,0.0,0,174,0.54,0.0,0.0,0.0,0.0,0.0,0.0
Naples,09/05/2021 02:00:00 AM,sud,4,clear sky,1019,73,290.94,0.0,0,128,1.15,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,09/05/2021 02:00:00 AM,centro_nord,11,few clouds,1020,90,284.83,2.12,0,43,1.31,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,09/05/2021 02:00:00 AM,nord,46,scattered clouds,1021,80,283.91,2.12,0,73,2.1,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,09/05/2021 02:00:00 AM,nord,48,scattered clouds,1022,90,274.87,2.12,0,71,1.01,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,09/05/2021 02:00:00 AM,centro_sud,66,broken clouds,1021,94,284.55,2.12,0,299,0.26,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,09/05/2021 02:00:00 AM,nord,28,scattered clouds,1021,86,283.59,0.0,0,177,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,09/05/2021 02:00:00 AM,sud,9,clear sky,1020,84,282.63,0.0,0,131,0.56,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,09/05/2021 02:00:00 AM,centro_nord,55,broken clouds,1021,87,283.63,2.12,0,249,0.65,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,09/05/2021 02:00:00 AM,nord,15,few clouds,1020,91,281.64,2.12,0,14,2.66,0.0,0.0,0.0,0.0,0.0,0.0
Milan,09/05/2021 02:00:00 AM,nord,31,scattered clouds,1021,74,285.23,0.0,0,54,1.73,0.0,0.0,0.0,0.0,0.0,0.0
Rome,09/05/2021 02:00:00 AM,centro_sud,1,clear sky,1019,83,288.01,2.12,0,38,1.14,0.0,0.0,0.0,0.0,0.0,0.0
Florence,09/05/2021 02:00:00 AM,centro_nord,9,clear sky,1020,81,286.53,0.0,0,47,1.45,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,09/05/2021 02:00:00 AM,nord,47,scattered clouds,1021,86,280.75,0.0,0,325,0.91,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,09/05/2021 02:00:00 AM,calabria,1,clear sky,1019,76,288.5,0.0,0,311,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Trento,09/05/2021 02:00:00 AM,nord,49,scattered clouds,1023,93,282.58,2.12,0,46,0.57,0.0,0.0,0.0,0.0,0.0,0.0
Venice,09/05/2021 02:00:00 AM,nord,25,scattered clouds,1021,68,285.85,2.62,0,345,2.04,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,09/05/2021 02:00:00 AM,sardegna,0,clear sky,1018,56,286.86,2.12,0,90,2.07,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,09/05/2021 03:00:00 AM,nord,9,clear sky,1021,78,283.71,2.12,0,75,2.15,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,09/05/2021 03:00:00 AM,centro_nord,5,clear sky,1021,87,283.54,2.12,0,231,0.73,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,09/05/2021 03:00:00 AM,sicilia,0,clear sky,1019,54,284.39,0.0,0,188,0.64,0.0,0.0,0.0,0.0,0.0,0.0
Venice,09/05/2021 03:00:00 AM,nord,8,clear sky,1021,70,285.61,2.62,0,9,1.94,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,09/05/2021 03:00:00 AM,nord,36,scattered clouds,1021,90,274.95,2.12,0,79,1.07,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,09/05/2021 03:00:00 AM,centro_sud,39,scattered clouds,1020,93,284.88,0.0,0,165,0.35,0.0,0.0,0.0,0.0,0.0,0.0
Florence,09/05/2021 03:00:00 AM,centro_nord,10,clear sky,1020,82,286.25,0.0,0,47,1.53,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,09/05/2021 03:00:00 AM,sud,0,clear sky,1020,84,282.56,0.0,0,132,0.58,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,09/05/2021 03:00:00 AM,sardegna,6,clear sky,1018,56,286.97,2.12,0,94,2.12,0.0,0.0,0.0,0.0,0.0,0.0
Bari,09/05/2021 03:00:00 AM,sud,66,broken clouds,1020,77,288.89,0.0,0,313,4.01,0.0,0.0,0.0,0.0,0.0,0.0
Rome,09/05/2021 03:00:00 AM,centro_sud,0,clear sky,1019,85,287.68,2.12,0,36,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,09/05/2021 03:00:00 AM,centro_sud,7,clear sky,1020,94,284.43,2.12,0,294,0.38,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,09/05/2021 03:00:00 AM,calabria,1,clear sky,1019,74,288.4,0.0,0,318,2.13,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,09/05/2021 03:00:00 AM,nord,9,clear sky,1021,86,283.39,0.0,0,187,0.61,0.0,0.0,0.0,0.0,0.0,0.0
Milan,09/05/2021 03:00:00 AM,nord,46,scattered clouds,1021,74,285.02,0.0,0,45,1.66,0.0,0.0,0.0,0.0,0.0,0.0
Naples,09/05/2021 03:00:00 AM,sud,0,clear sky,1019,74,290.74,0.0,0,111,1.11,0.0,0.0,0.0,0.0,0.0,0.0
Trento,09/05/2021 03:00:00 AM,nord,11,few clouds,1023,94,282.42,2.12,0,30,0.91,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,09/05/2021 03:00:00 AM,nord,32,scattered clouds,1021,87,280.53,0.0,0,325,0.83,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,09/05/2021 03:00:00 AM,nord,6,clear sky,1020,92,281.42,2.12,0,15,2.6,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,09/05/2021 03:00:00 AM,centro_nord,0,clear sky,1020,90,284.69,2.12,0,45,1.3,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,09/05/2021 04:00:00 AM,nord,9,clear sky,1020,87,283.07,0.0,0,160,0.68,0.0,0.0,0.0,0.0,0.0,0.0
Milan,09/05/2021 04:00:00 AM,nord,49,scattered clouds,1020,74,284.89,0.0,0,50,1.43,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,09/05/2021 04:00:00 AM,sicilia,0,clear sky,1019,52,284.42,0.0,0,193,0.96,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,09/05/2021 04:00:00 AM,nord,9,clear sky,1021,77,283.55,2.12,0,76,2.16,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,09/05/2021 04:00:00 AM,centro_sud,6,clear sky,1020,93,284.28,2.12,0,307,0.36,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,09/05/2021 04:00:00 AM,centro_nord,4,clear sky,1020,88,283.42,2.12,0,218,1.04,0.0,0.0,0.0,0.0,0.0,0.0
Venice,09/05/2021 04:00:00 AM,nord,8,clear sky,1020,72,285.39,2.62,0,21,2.06,0.0,0.0,0.0,0.0,0.0,0.0
Florence,09/05/2021 04:00:00 AM,centro_nord,5,clear sky,1019,83,285.91,0.0,0,49,1.46,0.0,0.0,0.0,0.0,0.0,0.0
Trento,09/05/2021 04:00:00 AM,nord,34,scattered clouds,1022,94,282.16,2.12,0,26,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Naples,09/05/2021 04:00:00 AM,sud,0,clear sky,1019,74,290.55,0.0,0,79,1.1,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,09/05/2021 04:00:00 AM,nord,6,clear sky,1020,92,281.26,2.12,0,15,2.69,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,09/05/2021 04:00:00 AM,nord,36,scattered clouds,1021,88,280.37,0.0,0,333,0.66,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,09/05/2021 04:00:00 AM,nord,47,scattered clouds,1021,90,274.86,2.12,0,68,0.94,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,09/05/2021 04:00:00 AM,calabria,1,clear sky,1019,72,288.38,0.0,0,318,1.94,0.0,0.0,0.0,0.0,0.0,0.0
Bari,09/05/2021 04:00:00 AM,sud,66,broken clouds,1019,78,288.64,0.0,0,312,3.93,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,09/05/2021 04:00:00 AM,centro_nord,3,clear sky,1020,90,284.55,2.12,0,46,1.13,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,09/05/2021 04:00:00 AM,sud,0,clear sky,1020,84,282.5,0.0,0,130,0.73,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,09/05/2021 04:00:00 AM,centro_sud,38,scattered clouds,1020,91,284.87,0.0,0,159,0.29,0.0,0.0,0.0,0.0,0.0,0.0
Rome,09/05/2021 04:00:00 AM,centro_sud,0,clear sky,1019,86,287.39,2.12,0,46,0.87,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,09/05/2021 04:00:00 AM,sardegna,6,clear sky,1017,56,286.91,2.12,0,94,2.08,0.0,0.0,0.0,0.0,0.0,0.0
Rome,09/05/2021 05:00:00 AM,centro_sud,0,clear sky,1019,87,287.15,2.12,0,43,0.97,0.0,0.0,0.0,0.0,0.0,0.0
Bari,09/05/2021 05:00:00 AM,sud,50,scattered clouds,1019,79,288.38,0.0,0,310,3.66,0.0,0.0,0.0,0.0,0.0,0.0
