name,date,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed,globalhorizontalirradiance,directnormalirradiance,diffusehorizontalirradiance,globalhorizontalirradiance_2,directnormalirradiance_2,diffusehorizontalirradiance_2
L'Aquila,08/05/2021 13:00:00 PM,centro_sud,48,scattered clouds,1020,48,292.88,0.0,0,111,1.2,870.82,623.74,310.74,946.33,946.33,946.33
Province of Palermo,08/05/2021 13:00:00 PM,sicilia,0,clear sky,980,54,294.64,0.0,0,5,3.81,980.08,901.42,143.0,980.08,980.08,980.08
Potenza,08/05/2021 13:00:00 PM,sud,30,scattered clouds,1021,55,293.71,0.0,0,20,2.76,960.34,882.3,154.08,963.46,963.46,963.46
Bologna,08/05/2021 13:00:00 PM,nord,75,broken clouds,1021,59,290.11,0.0,0,122,1.97,230.47,2.4,228.36,915.95,915.95,915.95
Trieste,08/05/2021 13:00:00 PM,nord,0,clear sky,1020,32,291.87,2.12,0,35,1.75,346.98,31.53,319.45,910.34,910.34,910.34
Bari,08/05/2021 13:00:00 PM,sud,0,clear sky,1017,56,292.46,0.0,0,355,5.64,956.82,907.08,129.79,956.82,956.82,956.82
Rome,08/05/2021 13:00:00 PM,centro_sud,0,clear sky,1017,53,296.53,2.12,0,239,1.08,778.59,449.24,374.53,941.92,941.92,941.92
Trieste,08/05/2021 14:00:00 PM,nord,17,few clouds,1020,36,291.9,2.12,0,352,1.49,345.23,24.98,323.4,911.71,911.71,911.71
Bari,08/05/2021 14:00:00 PM,sud,1,clear sky,1017,57,292.55,0.0,0,353,5.34,945.97,877.92,153.33,945.97,945.97,945.97
Catanzaro,08/05/2021 14:00:00 PM,calabria,11,few clouds,1017,67,295.24,0.0,0,269,3.43,963.93,896.07,141.25,966.47,966.47,966.47
Potenza,08/05/2021 14:00:00 PM,sud,32,scattered clouds,1020,56,293.28,0.0,0,27,3.05,941.06,843.75,174.65,956.72,956.72,956.72
Sardinia,08/05/2021 14:00:00 PM,sardegna,3,clear sky,1018,66,294.73,2.12,0,318,4.13,970.56,906.66,135.17,970.57,970.57,970.57
Valle d'Aosta,08/05/2021 14:00:00 PM,nord,43,scattered clouds,1019,36,287.12,2.12,0,6,1.61,855.54,541.86,379.56,925.86,925.86,925.86
Provincia di Genova,08/05/2021 14:00:00 PM,nord,48,scattered clouds,1019,64,291.43,2.12,0,289,2.3,874.08,679.32,270.71,930.72,930.72,930.72
Milan,08/05/2021 14:00:00 PM,nord,36,scattered clouds,1021,53,290.5,0.0,0,90,2.88,229.61,2.38,227.51,918.43,918.43,918.43
Province of Turin,08/05/2021 14:00:00 PM,nord,49,scattered clouds,1021,58,289.65,0.0,0,100,2.96,483.85,148.59,352.69,927.68,927.68,927.68
Rome,08/05/2021 14:00:00 PM,centro_sud,11,few clouds,1017,51,296.68,2.12,0,228,1.76,849.07,594.08,311.51,948.5,948.5,948.5
Venice,08/05/2021 14:00:00 PM,nord,19,few clouds,1021,42,290.92,2.62,0,121,2.33,254.48,5.03,250.07,914.75,914.75,914.75
Provincia di Campobasso,08/05/2021 14:00:00 PM,centro_sud,55,broken clouds,1019,68,293.88,2.12,0,54,2.27,860.03,586.28,330.16,950.37,950.37,950.37
Bologna,08/05/2021 14:00:00 PM,nord,80,broken clouds,1021,61,289.93,0.0,0,120,2.04,231.56,2.43,229.4,926.23,926.23,926.23
Provincia di Perugia,08/05/2021 14:00:00 PM,centro_nord,17,few clouds,1018,50,294.86,2.12,0,350,1.92,934.62,849.0,173.56,939.69,939.69,939.69
Naples,08/05/2021 14:00:00 PM,sud,18,few clouds,1017,48,295.42,0.0,0,231,3.35,954.01,903.65,131.78,954.25,954.25,954.25
Florence,08/05/2021 14:00:00 PM,centro_nord,69,broken clouds,1018,52,293.73,0.0,0,7,2.59,866.8,743.03,203.65,933.82,933.82,933.82
L'Aquila,08/05/2021 14:00:00 PM,centro_sud,49,scattered clouds,1019,51,292.71,0.0,0,90,1.23,838.1,547.76,344.84,949.29,949.29,949.29
Province of Palermo,08/05/2021 14:00:00 PM,sicilia,0,clear sky,987,52,294.58,0.0,0,7,3.97,982.42,901.3,143.73,982.42,982.42,982.42
Trento,08/05/2021 14:00:00 PM,nord,35,scattered clouds,1020,34,291.14,2.12,0,183,3.07,895.88,770.34,222.69,915.79,915.79,915.79
Provincia di Ancona,08/05/2021 14:00:00 PM,centro_nord,94,overcast clouds,1020,58,289.76,2.12,0,21,2.88,355.3,49.64,311.0,932.79,932.79,932.79
Provincia di Campobasso,08/05/2021 15:00:00 PM,centro_sud,72,broken clouds,1019,71,293.03,2.12,0,53,2.48,759.67,488.89,342.07,889.91,889.91,889.91
Venice,08/05/2021 15:00:00 PM,nord,38,scattered clouds,1021,45,290.57,2.62,0,140,2.5,275.01,9.25,267.27,866.35,866.35,866.35
Florence,08/05/2021 15:00:00 PM,centro_nord,80,broken clouds,1018,50,294.18,0.0,0,359,2.23,817.59,723.27,199.37,887.9,887.9,887.9
Province of Palermo,08/05/2021 15:00:00 PM,sicilia,0,clear sky,995,50,294.43,0.0,0,9,4.08,922.37,855.59,168.22,922.37,922.37,922.37
Naples,08/05/2021 15:00:00 PM,sud,15,few clouds,1017,50,295.15,0.0,0,239,3.69,894.16,881.89,135.05,894.36,894.36,894.36
Valle d'Aosta,08/05/2021 15:00:00 PM,nord,49,scattered clouds,1018,38,286.89,2.12,0,360,1.39,812.18,506.84,379.63,895.39,895.39,895.39
Sardinia,08/05/2021 15:00:00 PM,sardegna,2,clear sky,1018,58,295.26,2.12,0,326,4.46,930.62,859.34,166.9,930.62,930.62,930.62
Provincia di Genova,08/05/2021 15:00:00 PM,nord,40,scattered clouds,1019,62,290.96,2.12,0,291,2.0,831.29,658.22,266.81,893.43,893.43,893.43
Catanzaro,08/05/2021 15:00:00 PM,calabria,7,clear sky,1017,63,295.4,0.0,0,276,3.34,894.01,862.92,151.97,895.47,895.47,895.47
Bari,08/05/2021 15:00:00 PM,sud,4,clear sky,1017,56,292.62,0.0,0,358,5.61,876.45,877.06,134.67,876.45,876.45,876.45
Trieste,08/05/2021 15:00:00 PM,nord,17,few clouds,1020,39,291.97,2.12,0,309,1.71,477.56,106.54,389.13,858.31,858.31,858.31
L'Aquila,08/05/2021 15:00:00 PM,centro_sud,68,broken clouds,1018,55,292.46,0.0,0,76,1.38,755.86,509.52,320.03,893.99,893.99,893.99
Trento,08/05/2021 15:00:00 PM,nord,60,broken clouds,1019,38,291.35,2.12,0,185,2.93,826.89,684.56,253.24,872.17,872.17,872.17
Bologna,08/05/2021 15:00:00 PM,nord,85,overcast clouds,1021,63,290.03,0.0,0,99,2.3,220.06,2.14,218.24,880.22,880.22,880.22
Province of Turin,08/05/2021 15:00:00 PM,nord,62,broken clouds,1021,63,288.4,0.0,0,91,2.46,439.89,122.63,334.69,897.05,897.05,897.05
Provincia di Perugia,08/05/2021 15:00:00 PM,centro_nord,41,scattered clouds,1018,52,294.86,2.12,0,8,2.41,882.19,846.03,159.49,888.28,888.28,888.28
Rome,08/05/2021 15:00:00 PM,centro_sud,36,scattered clouds,1017,49,296.75,2.12,0,234,3.26,807.98,617.39,275.75,896.34,896.34,896.34
Milan,08/05/2021 15:00:00 PM,nord,52,broken clouds,1021,50,290.55,0.0,0,108,2.66,220.35,2.15,218.52,881.41,881.41,881.41
Potenza,08/05/2021 15:00:00 PM,sud,56,broken clouds,1019,57,292.67,0.0,0,31,3.48,855.42,735.91,226.83,890.56,890.56,890.56
Provincia di Ancona,08/05/2021 15:00:00 PM,centro_nord,96,overcast clouds,1020,61,289.47,2.12,0,5,2.84,320.22,36.19,289.49,879.55,879.55,879.55
Trento,08/05/2021 16:00:00 PM,nord,73,broken clouds,1019,43,291.52,2.12,0,190,2.68,194.39,4.28,191.14,777.54,777.54,777.54
Naples,08/05/2021 16:00:00 PM,sud,13,few clouds,1016,53,294.77,0.0,0,245,3.79,780.12,869.71,113.72,780.2,780.2,780.2
Valle d'Aosta,08/05/2021 16:00:00 PM,nord,65,broken clouds,1017,42,286.65,2.12,0,359,1.22,587.56,429.38,250.81,812.16,812.16,812.16
Catanzaro,08/05/2021 16:00:00 PM,calabria,7,clear sky,1016,59,295.34,0.0,0,277,3.54,769.8,840.32,134.65,769.81,769.81,769.81
Bari,08/05/2021 16:00:00 PM,sud,23,few clouds,1017,55,292.62,0.0,0,2,5.36,754.12,843.72,126.1,754.32,754.32,754.32
Province of Turin,08/05/2021 16:00:00 PM,nord,72,broken clouds,1020,68,286.97,0.0,0,86,1.76,270.72,26.97,249.43,813.13,813.13,813.13
Province of Palermo,08/05/2021 16:00:00 PM,sicilia,0,clear sky,1002,48,294.08,0.0,0,9,3.98,805.13,855.03,134.2,805.13,805.13,805.13
Trieste,08/05/2021 16:00:00 PM,nord,41,scattered clouds,1019,44,291.77,2.12,0,275,2.23,679.61,649.5,196.4,754.72,754.72,754.72
Sardinia,08/05/2021 16:00:00 PM,sardegna,3,clear sky,1018,52,295.57,2.12,0,334,4.37,833.23,858.96,138.77,833.23,833.23,833.23
Rome,08/05/2021 16:00:00 PM,centro_sud,32,scattered clouds,1016,51,296.27,2.12,0,241,4.22,382.91,99.74,305.63,789.97,789.97,789.97
Florence,08/05/2021 16:00:00 PM,centro_nord,79,broken clouds,1017,49,294.56,0.0,0,353,2.54,427.32,94.62,354.2,788.9,788.9,788.9
L'Aquila,08/05/2021 16:00:00 PM,centro_sud,79,broken clouds,1018,62,291.72,0.0,0,69,1.38,224.81,6.52,219.83,785.2,785.2,785.2
Venice,08/05/2021 16:00:00 PM,nord,59,broken clouds,1020,48,290.17,2.62,0,151,2.0,257.52,35.53,230.73,766.96,766.96,766.96
Provincia di Genova,08/05/2021 16:00:00 PM,nord,41,scattered clouds,1018,61,290.24,2.12,0,299,1.83,755.72,715.65,195.41,802.86,802.86,802.86
Provincia di Campobasso,08/05/2021 16:00:00 PM,centro_sud,81,broken clouds,1018,75,292.23,2.12,0,59,2.58,193.99,4.97,190.22,775.97,775.97,775.97
Provincia di Ancona,08/05/2021 16:00:00 PM,centro_nord,98,overcast clouds,1020,64,289.21,2.12,0,358,2.54,200.9,3.35,198.36,773.91,773.91,773.91
Potenza,08/05/2021 16:00:00 PM,sud,70,broken clouds,1019,58,291.97,0.0,0,37,3.18,283.41,45.49,249.02,770.72,770.72,770.72
Milan,08/05/2021 16:00:00 PM,nord,68,broken clouds,1020,50,290.54,0.0,0,110,2.39,198.03,1.51,196.86,792.13,792.13,792.13
Bologna,08/05/2021 16:00:00 PM,nord,90,overcast clouds,1020,62,290.5,0.0,0,99,2.43,196.18,1.45,195.07,781.9,781.9,781.9
Provincia di Perugia,08/05/2021 16:00:00 PM,centro_nord,51,broken clouds,1017,55,294.67,2.12,0,16,3.04,515.87,227.15,341.49,783.69,783.69,783.69
Provincia di Ancona,08/05/2021 17:00:00 PM,centro_nord,98,overcast clouds,1019,66,289.17,2.12,0,14,1.97,159.95,0.29,159.76,625.15,625.15,625.15
Trieste,08/05/2021 17:00:00 PM,nord,63,broken clouds,1019,50,291.09,2.12,0,259,2.3,462.47,372.44,230.94,610.01,610.01,610.01
