Date,DayName,Month,Holiday
2021-05-10,Monday,May,no
2021-05-11,Tuesday,May,no
2021-05-12,Wednesday,May,no
2021-05-13,Thursday,May,no
2021-05-14,Friday,May,no
2021-05-15,Saturday,May,half
2021-05-16,Sunday,May,yes
2021-05-17,Monday,May,no
2021-05-18,Tuesday,May,no
2021-05-19,Wednesday,May,no
2021-05-20,Thursday,May,no
2021-05-21,Friday,May,no
2021-05-22,Saturday,May,half
2021-05-23,Sunday,May,yes
2021-05-24,Monday,May,no
2021-05-25,Tuesday,May,no
2021-05-26,Wednesday,May,no
2021-05-27,Thursday,May,no
2021-05-28,Friday,May,no
2021-05-29,Saturday,May,half
2021-05-30,Sunday,May,yes
2021-05-31,Monday,May,no
2021-06-01,Tuesday,June,yes
2021-06-02,Wednesday,June,no
2021-06-03,Thursday,June,no
2021-06-04,Friday,June,no
2021-06-05,Saturday,June,half
2021-06-06,Sunday,June,yes
2021-06-07,Monday,June,no
2021-06-08,Tuesday,June,no
2021-06-09,Wednesday,June,no
2021-06-10,Thursday,June,no
2021-06-11,Friday,June,no
2021-06-12,Saturday,June,half
2021-06-13,Sunday,June,yes
2021-06-14,Monday,June,no
2021-06-15,Tuesday,June,no
2021-06-16,Wednesday,June,no
2021-06-17,Thursday,June,no
2021-06-18,Friday,June,no
2021-06-19,Saturday,June,half
2021-06-20,Sunday,June,yes
2021-06-21,Monday,June,no
2021-06-22,Tuesday,June,no
2021-06-23,Wednesday,June,no
2021-06-24,Thursday,June,no
2021-06-25,Friday,June,no
2021-06-26,Saturday,June,half
2021-06-27,Sunday,June,yes
2021-06-28,Monday,June,no
2021-06-29,Tuesday,June,no
2021-06-30,Wednesday,June,no
2021-07-01,Thursday,July,no
2021-07-02,Friday,July,no
2021-07-03,Saturday,July,half
2021-07-04,Sunday,July,yes
2021-07-05,Monday,July,no
2021-07-06,Tuesday,July,no
2021-07-07,Wednesday,July,no
2021-07-08,Thursday,July,no
2021-07-09,Friday,July,no
2021-07-10,Saturday,July,half
2021-07-11,Sunday,July,yes
2021-07-12,Monday,July,no
2021-07-13,Tuesday,July,no
2021-07-14,Wednesday,July,no
2021-07-15,Thursday,July,no
2021-07-16,Friday,July,no
2021-07-17,Saturday,July,half
2021-07-18,Sunday,July,yes
2021-07-19,Monday,July,no
2021-07-20,Tuesday,July,no
2021-07-21,Wednesday,July,no
2021-07-22,Thursday,July,no
2021-07-23,Friday,July,no
2021-07-24,Saturday,July,half
2021-07-25,Sunday,July,yes
2021-07-26,Monday,July,no
2021-07-27,Tuesday,July,no
2021-07-28,Wednesday,July,no
2021-07-29,Thursday,July,no
2021-07-30,Friday,July,no
2021-07-31,Saturday,July,half
2021-08-01,Sunday,August,yes
2021-08-02,Monday,August,no
2021-08-03,Tuesday,August,no
2021-08-04,Wednesday,August,no
2021-08-05,Thursday,August,no
2021-08-06,Friday,August,no
2021-08-07,Saturday,August,half
2021-08-08,Sunday,August,yes
2021-08-09,Monday,August,no
2021-08-10,Tuesday,August,no
2021-08-11,Wednesday,August,no
2021-08-12,Thursday,August,yes
2021-08-13,Friday,August,no
2021-08-14,Saturday,August,half
2021-08-15,Sunday,August,yes
2021-08-16,Monday,August,no
2021-08-17,Tuesday,August,no
2021-08-18,Wednesday,August,no
2021-08-19,Thursday,August,no
2021-08-20,Friday,August,no
2021-08-21,Saturday,August,half
2021-08-22,Sunday,August,yes
2021-08-23,Monday,August,no
2021-08-24,Tuesday,August,no
2021-08-25,Wednesday,August,no
2021-08-26,Thursday,August,no
2021-08-27,Friday,August,no
2021-08-28,Saturday,August,half
2021-08-29,Sunday,August,yes
2021-08-30,Monday,August,no
2021-08-31,Tuesday,August,no
2021-09-01,Wednesday,September,no
2021-09-02,Thursday,September,no
2021-09-03,Friday,September,no
2021-09-04,Saturday,September,half
2021-09-05,Sunday,September,yes
2021-09-06,Monday,September,no
2021-09-07,Tuesday,September,no
2021-09-08,Wednesday,September,no
2021-09-09,Thursday,September,no
2021-09-10,Friday,September,no
2021-09-11,Saturday,September,half
2021-09-12,Sunday,September,yes
2021-09-13,Monday,September,no
2021-09-14,Tuesday,September,no
2021-09-15,Wednesday,September,no
2021-09-16,Thursday,September,no
2021-09-17,Friday,September,no
2021-09-18,Saturday,September,half
2021-09-19,Sunday,September,yes
2021-09-20,Monday,September,no
2021-09-21,Tuesday,September,no
2021-09-22,Wednesday,September,no
2021-09-23,Thursday,September,no
2021-09-24,Friday,September,no
2021-09-25,Saturday,September,half
2021-09-26,Sunday,September,yes
2021-09-27,Monday,September,no
2021-09-28,Tuesday,September,no
2021-09-29,Wednesday,September,no
2021-09-30,Thursday,September,no
2021-10-01,Friday,October,no
2021-10-02,Saturday,October,half
2021-10-03,Sunday,October,yes
2021-10-04,Monday,October,no
2021-10-05,Tuesday,October,no
2021-10-06,Wednesday,October,no
2021-10-07,Thursday,October,no
2021-10-08,Friday,October,no
2021-10-09,Saturday,October,half
2021-10-10,Sunday,October,yes
2021-10-11,Monday,October,no
2021-10-12,Tuesday,October,no
2021-10-13,Wednesday,October,no
2021-10-14,Thursday,October,no
2021-10-15,Friday,October,no
2021-10-16,Saturday,October,half
2021-10-17,Sunday,October,yes
2021-10-18,Monday,October,no
2021-10-19,Tuesday,October,no
2021-10-20,Wednesday,October,no
2021-10-21,Thursday,October,no
2021-10-22,Friday,October,no
2021-10-23,Saturday,October,half
2021-10-24,Sunday,October,yes
2021-10-25,Monday,October,no
2021-10-26,Tuesday,October,no
2021-10-27,Wednesday,October,no
2021-10-28,Thursday,October,no
2021-10-29,Friday,October,no
2021-10-30,Saturday,October,half
2021-10-31,Sunday,October,yes
2021-11-01,Monday,November,no
2021-11-02,Tuesday,November,no
2021-11-03,Wednesday,November,no
2021-11-04,Thursday,November,no
2021-11-05,Friday,November,no
2021-11-06,Saturday,November,half
2021-11-07,Sunday,November,yes
2021-11-08,Monday,November,no
2021-11-09,Tuesday,November,no
2021-11-10,Wednesday,November,no
2021-11-11,Thursday,November,no
2021-11-12,Friday,November,no
2021-11-13,Saturday,November,half
2021-11-14,Sunday,November,yes
2021-11-15,Monday,November,no
2021-11-16,Tuesday,November,no
2021-11-17,Wednesday,November,no
2021-11-18,Thursday,November,no
2021-11-19,Friday,November,no
2021-11-20,Saturday,November,half
2021-11-21,Sunday,November,yes
2021-11-22,Monday,November,no
2021-11-23,Tuesday,November,no
2021-11-24,Wednesday,November,no
2021-11-25,Thursday,November,no
2021-11-26,Friday,November,no
2021-11-27,Saturday,November,half
2021-11-28,Sunday,November,yes
2021-11-29,Monday,November,no
2021-11-30,Tuesday,November,no
2021-12-01,Wednesday,December,no
2021-12-02,Thursday,December,no
2021-12-03,Friday,December,no
2021-12-04,Saturday,December,half
2021-12-05,Sunday,December,yes
2021-12-06,Monday,December,no
2021-12-07,Tuesday,December,no
2021-12-08,Wednesday,December,no
2021-12-09,Thursday,December,no
2021-12-10,Friday,December,no
2021-12-11,Saturday,December,half
2021-12-12,Sunday,December,yes
2021-12-13,Monday,December,no
2021-12-14,Tuesday,December,no
2021-12-15,Wednesday,December,no
2021-12-16,Thursday,December,no
2021-12-17,Friday,December,no
2021-12-18,Saturday,December,half
2021-12-19,Sunday,December,yes
2021-12-20,Monday,December,no
2021-12-21,Tuesday,December,no
2021-12-22,Wednesday,December,no
2021-12-23,Thursday,December,no
2021-12-24,Friday,December,no
2021-12-25,Saturday,December,half
2021-12-26,Sunday,December,yes
2021-12-27,Monday,December,no
2021-12-28,Tuesday,December,no
2021-12-29,Wednesday,December,no
2021-12-30,Thursday,December,no
2021-12-31,Friday,December,no
2022-01-01,Saturday,January,yes
