Date,DayName,Month,Holiday
2019-07-16,Tuesday,July,no
2019-07-17,Wednesday,July,no
2019-07-18,Thursday,July,no
2019-07-19,Friday,July,no
2019-07-20,Saturday,July,half
2019-07-21,Sunday,July,yes
2019-07-22,Monday,July,no
2019-07-23,Tuesday,July,no
2019-07-24,Wednesday,July,no
2019-07-25,Thursday,July,no
2019-07-26,Friday,July,no
2019-07-27,Saturday,July,half
2019-07-28,Sunday,July,yes
2019-07-29,Monday,July,no
2019-07-30,Tuesday,July,no
2019-07-31,Wednesday,July,no
2019-08-01,Thursday,August,no
2019-08-02,Friday,August,no
2019-08-03,Saturday,August,half
2019-08-04,Sunday,August,yes
2019-08-05,Monday,August,no
2019-08-06,Tuesday,August,no
2019-08-07,Wednesday,August,no
2019-08-08,Thursday,August,no
2019-08-09,Friday,August,no
2019-08-10,Saturday,August,half
2019-08-11,Sunday,August,yes
2019-08-12,Monday,August,yes
2019-08-13,Tuesday,August,no
2019-08-14,Wednesday,August,no
2019-08-15,Thursday,August,no
2019-08-16,Friday,August,no
2019-08-17,Saturday,August,half
2019-08-18,Sunday,August,yes
2019-08-19,Monday,August,no
2019-08-20,Tuesday,August,no
2019-08-21,Wednesday,August,no
2019-08-22,Thursday,August,no
2019-08-23,Friday,August,no
2019-08-24,Saturday,August,half
2019-08-25,Sunday,August,yes
2019-08-26,Monday,August,no
2019-08-27,Tuesday,August,no
2019-08-28,Wednesday,August,no
2019-08-29,Thursday,August,no
2019-08-30,Friday,August,no
2019-08-31,Saturday,August,half
2019-09-01,Sunday,September,yes
2019-09-02,Monday,September,no
2019-09-03,Tuesday,September,no
2019-09-04,Wednesday,September,no
2019-09-05,Thursday,September,no
2019-09-06,Friday,September,no
2019-09-07,Saturday,September,half
2019-09-08,Sunday,September,yes
2019-09-09,Monday,September,no
2019-09-10,Tuesday,September,no
2019-09-11,Wednesday,September,no
2019-09-12,Thursday,September,no
2019-09-13,Friday,September,no
2019-09-14,Saturday,September,half
2019-09-15,Sunday,September,yes
2019-09-16,Monday,September,no
2019-09-17,Tuesday,September,no
2019-09-18,Wednesday,September,no
2019-09-19,Thursday,September,no
2019-09-20,Friday,September,no
2019-09-21,Saturday,September,half
2019-09-22,Sunday,September,yes
2019-09-23,Monday,September,no
2019-09-24,Tuesday,September,no
2019-09-25,Wednesday,September,no
2019-09-26,Thursday,September,no
2019-09-27,Friday,September,no
2019-09-28,Saturday,September,half
2019-09-29,Sunday,September,yes
2019-09-30,Monday,September,no
2019-10-01,Tuesday,October,no
2019-10-02,Wednesday,October,no
2019-10-03,Thursday,October,no
2019-10-04,Friday,October,no
2019-10-05,Saturday,October,half
2019-10-06,Sunday,October,yes
2019-10-07,Monday,October,no
2019-10-08,Tuesday,October,no
2019-10-09,Wednesday,October,no
2019-10-10,Thursday,October,no
2019-10-11,Friday,October,no
2019-10-12,Saturday,October,half
2019-10-13,Sunday,October,yes
2019-10-14,Monday,October,no
2019-10-15,Tuesday,October,no
2019-10-16,Wednesday,October,no
2019-10-17,Thursday,October,no
2019-10-18,Friday,October,no
2019-10-19,Saturday,October,half
2019-10-20,Sunday,October,yes
2019-10-21,Monday,October,no
2019-10-22,Tuesday,October,no
2019-10-23,Wednesday,October,no
2019-10-24,Thursday,October,no
2019-10-25,Friday,October,no
2019-10-26,Saturday,October,half
2019-10-27,Sunday,October,yes
2019-10-28,Monday,October,no
2019-10-29,Tuesday,October,no
2019-10-30,Wednesday,October,no
2019-10-31,Thursday,October,no
2019-11-01,Friday,November,no
2019-11-02,Saturday,November,half
2019-11-03,Sunday,November,yes
2019-11-04,Monday,November,no
2019-11-05,Tuesday,November,no
2019-11-06,Wednesday,November,no
2019-11-07,Thursday,November,no
2019-11-08,Friday,November,no
2019-11-09,Saturday,November,half
2019-11-10,Sunday,November,yes
2019-11-11,Monday,November,no
2019-11-12,Tuesday,November,no
2019-11-13,Wednesday,November,no
2019-11-14,Thursday,November,no
2019-11-15,Friday,November,no
2019-11-16,Saturday,November,half
2019-11-17,Sunday,November,yes
2019-11-18,Monday,November,no
2019-11-19,Tuesday,November,no
2019-11-20,Wednesday,November,no
2019-11-21,Thursday,November,no
2019-11-22,Friday,November,no
2019-11-23,Saturday,November,half
2019-11-24,Sunday,November,yes
2019-11-25,Monday,November,no
2019-11-26,Tuesday,November,no
2019-11-27,Wednesday,November,no
2019-11-28,Thursday,November,no
2019-11-29,Friday,November,no
2019-11-30,Saturday,November,half
2019-12-01,Sunday,December,yes
2019-12-02,Monday,December,no
2019-12-03,Tuesday,December,no
2019-12-04,Wednesday,December,no
2019-12-05,Thursday,December,no
2019-12-06,Friday,December,no
2019-12-07,Saturday,December,half
2019-12-08,Sunday,December,yes
2019-12-09,Monday,December,no
2019-12-10,Tuesday,December,no
2019-12-11,Wednesday,December,no
2019-12-12,Thursday,December,no
2019-12-13,Friday,December,no
2019-12-14,Saturday,December,half
2019-12-15,Sunday,December,yes
2019-12-16,Monday,December,no
2019-12-17,Tuesday,December,no
2019-12-18,Wednesday,December,no
2019-12-19,Thursday,December,no
2019-12-20,Friday,December,no
2019-12-21,Saturday,December,half
2019-12-22,Sunday,December,yes
2019-12-23,Monday,December,no
2019-12-24,Tuesday,December,no
2019-12-25,Wednesday,December,no
2019-12-26,Thursday,December,no
2019-12-27,Friday,December,no
