Date,Renewable Generation [GWh],Energy Source
2021-06-03 11:00:00,1.94,Biomass
2021-06-03 12:00:00,1.75,Biomass
2021-06-03 13:00:00,1.83,Biomass
2021-06-03 14:00:00,1.89,Biomass
2021-06-03 15:00:00,1.92,Biomass
2021-06-03 16:00:00,1.91,Biomass
2021-06-03 17:00:00,1.98,Biomass
2021-06-03 18:00:00,2.07,Biomass
2021-06-03 19:00:00,2.16,Biomass
2021-06-03 20:00:00,2.15,Biomass
2021-06-03 21:00:00,2.15,Biomass
2021-06-03 22:00:00,1.93,Biomass
2021-06-03 23:00:00,1.73,Biomass
2021-06-04 00:00:00,1.64,Biomass
2021-06-04 01:00:00,1.52,Biomass
2021-06-04 02:00:00,1.48,Biomass
2021-06-04 03:00:00,1.51,Biomass
2021-06-04 04:00:00,1.63,Biomass
2021-06-04 05:00:00,1.70,Biomass
2021-06-04 06:00:00,1.78,Biomass
2021-06-04 07:00:00,1.97,Biomass
2021-06-04 08:00:00,1.99,Biomass
2021-06-04 09:00:00,1.96,Biomass
2021-06-04 10:00:00,1.94,Biomass
2021-06-04 11:00:00,1.92,Biomass
2021-06-04 12:00:00,1.89,Biomass
2021-06-04 13:00:00,1.86,Biomass
2021-06-04 14:00:00,1.92,Biomass
2021-06-04 15:00:00,1.98,Biomass
2021-06-04 16:00:00,2.18,Biomass
2021-06-04 17:00:00,2.27,Biomass
2021-06-04 18:00:00,2.33,Biomass
2021-06-04 19:00:00,2.33,Biomass
2021-06-04 20:00:00,2.35,Biomass
2021-06-04 21:00:00,2.22,Biomass
2021-06-04 22:00:00,2.01,Biomass
2021-06-04 23:00:00,1.86,Biomass
2021-06-05 00:00:00,1.78,Biomass
2021-06-05 01:00:00,1.62,Biomass
2021-06-05 02:00:00,1.57,Biomass
2021-06-05 03:00:00,1.53,Biomass
2021-06-05 04:00:00,1.52,Biomass
2021-06-05 05:00:00,1.53,Biomass
2021-06-05 06:00:00,1.60,Biomass
2021-06-05 07:00:00,1.60,Biomass
2021-06-05 08:00:00,1.62,Biomass
2021-06-05 09:00:00,1.59,Biomass
2021-06-05 10:00:00,1.51,Biomass
2021-06-05 11:00:00,1.53,Biomass
2021-06-05 12:00:00,1.42,Biomass
2021-06-05 13:00:00,1.40,Biomass
2021-06-05 14:00:00,1.42,Biomass
2021-06-05 15:00:00,1.49,Biomass
2021-06-05 16:00:00,1.52,Biomass
2021-06-05 17:00:00,1.58,Biomass
2021-06-05 18:00:00,1.87,Biomass
2021-06-05 19:00:00,1.89,Biomass
2021-06-05 20:00:00,1.96,Biomass
2021-06-05 21:00:00,1.90,Biomass
2021-06-05 22:00:00,1.90,Biomass
2021-06-05 23:00:00,1.80,Biomass
2021-06-06 00:00:00,1.55,Biomass
2021-06-06 01:00:00,1.44,Biomass
2021-06-06 02:00:00,1.45,Biomass
2021-06-06 03:00:00,1.43,Biomass
2021-06-06 04:00:00,1.45,Biomass
2021-06-06 05:00:00,1.45,Biomass
2021-06-06 06:00:00,1.46,Biomass
2021-06-06 07:00:00,1.37,Biomass
2021-06-06 08:00:00,1.35,Biomass
2021-06-06 09:00:00,1.42,Biomass
2021-06-06 10:00:00,1.51,Biomass
2021-06-06 11:00:00,1.46,Biomass
2021-06-06 12:00:00,1.45,Biomass
2021-06-06 13:00:00,1.33,Biomass
2021-06-06 14:00:00,1.33,Biomass
2021-06-06 15:00:00,1.49,Biomass
2021-06-06 16:00:00,1.66,Biomass
2021-06-06 17:00:00,1.66,Biomass
2021-06-06 18:00:00,1.89,Biomass
2021-06-06 19:00:00,1.95,Biomass
2021-06-06 20:00:00,1.94,Biomass
2021-06-06 21:00:00,2.04,Biomass
2021-06-06 22:00:00,1.95,Biomass
2021-06-06 23:00:00,1.75,Biomass
2021-06-07 00:00:00,1.71,Biomass
2021-06-07 01:00:00,1.58,Biomass
2021-06-07 02:00:00,1.55,Biomass
2021-06-07 03:00:00,1.52,Biomass
2021-06-07 04:00:00,1.56,Biomass
2021-06-07 05:00:00,1.60,Biomass
2021-06-07 06:00:00,1.76,Biomass
2021-06-07 07:00:00,2.01,Biomass
2021-06-07 08:00:00,2.23,Biomass
2021-06-07 09:00:00,2.25,Biomass
2021-06-07 10:00:00,2.26,Biomass
2021-06-07 11:00:00,2.22,Biomass
2021-06-07 12:00:00,2.17,Biomass
2021-06-07 13:00:00,2.28,Biomass
2021-06-07 14:00:00,2.37,Biomass
2021-06-07 15:00:00,2.24,Biomass
2021-06-07 16:00:00,2.30,Biomass
2021-06-07 17:00:00,2.39,Biomass
2021-06-07 18:00:00,2.45,Biomass
